Items,Price,Time Waiting,Custumer Service,Weather,Cashier Mood,Mood,Good Enviroment,Payment Method,Cashier Gender,Hungry?,Satisfaction
Pasta,230.0,0,1,0,1,0,0,1,1,0,0
Yogurt,150.0,0,0,0,0,0,1,0,0,0,0
Cheese,208.0,1,0,0,0,0,1,1,0,0,0
Backpack,140.0,1,0,0,0,0,1,0,0,0,1
T-shirt,100.0,0,0,0,0,0,1,0,0,0,0
Toothpaste,120.0,1,0,0,0,0,1,0,1,0,1
Sunglasses,130.0,1,0,0,0,0,1,0,1,0,1
Mug,100.0,0,0,0,0,0,1,1,1,0,0
Scarf,143.0,1,0,0,0,0,0,0,1,1,0
Baseball Cap,120.0,1,0,0,0,0,1,0,0,1,1
Lamp,900.0,1,0,0,0,0,1,1,0,0,1
Jeans,150.0,1,0,0,0,0,0,1,1,1,0
Laptop,32500.0,0,0,0,0,0,1,1,0,0,0
Chair,2200.0,0,0,0,0,0,1,0,1,0,0
Headphones,2600.0,1,0,0,0,0,0,1,0,0,0
Sunglasses,130.0,0,0,0,0,0,1,1,0,1,0
Notebook,70.0,1,0,0,0,0,0,0,0,0,0
Beef,260.0,0,0,1,0,1,1,1,1,0,0
T-shirt,130.0,1,0,0,0,0,1,1,0,0,0
Apple,39.0,0,0,0,0,0,0,1,0,1,0
Book,700.0,0,0,0,0,0,1,1,0,0,0
Yogurt,150.0,1,0,0,0,0,1,1,1,0,1
Bedding Set,2800.0,1,1,0,1,0,0,1,1,0,1
Frying Pan,1200.0,0,0,0,0,0,0,0,1,0,0
Pasta,230.0,0,0,1,0,1,0,1,0,0,0
Baseball Cap,120.0,0,0,0,0,0,1,1,1,0,0
Towel,180.0,1,0,0,0,0,0,0,0,0,0
Book,700.0,0,0,0,0,0,0,1,1,1,0
Belt,100.0,1,0,0,0,0,1,0,0,1,1
Lamp,900.0,1,0,0,0,0,0,1,0,0,0
Apple,39.0,1,1,0,1,0,1,0,0,0,0
Lamp,900.0,0,1,0,1,0,1,0,0,0,0
Burger,250.0,1,0,0,0,0,1,1,1,0,1
Boots,2600.0,0,0,0,0,0,1,1,1,0,0
Bread,80.0,1,0,0,0,0,0,0,0,0,0
Eggs,117.0,0,0,0,0,0,0,1,1,0,0
Chicken,90.0,0,0,0,0,0,0,1,0,0,0
Blender,2730.0,1,0,0,0,0,0,0,1,0,0
Jeans,195.0,1,0,0,0,0,1,1,0,0,0
Milk,110.0,0,0,1,0,1,0,0,1,0,0
Apple,39.0,1,0,0,0,0,1,1,1,0,0
Pencil,35.0,0,0,0,0,0,1,1,1,0,0
Curtains,1950.0,1,0,0,0,0,1,0,0,0,0
Eggs,117.0,1,0,0,0,0,0,1,1,1,0
Fish,150.0,1,0,0,0,0,1,1,1,0,1
